pod,CPU(m),MEMORY(Mi)
kube-scheduler-minikube,0.007993890499067968,47.99609375
kube-apiserver-minikube,0.053939590007718974,547.125
prometheus-prometheus-kube-prometheus-prometheus-0,0.015960772916819098,253.18359375
prometheus-kube-prometheus-operator-66b74b8df7-zp8l5,0.0014945103310712664,44.33984375
prometheus-grafana-68589f687c-xbp7f,0.018590252767279786,310.9609375
prometheus-prometheus-node-exporter-9r6zb,0.001321447159405286,17.296875
prometheus-kube-state-metrics-5bc7f89f46-vr78c,0.0012531971212919098,33.8046875
alertmanager-prometheus-kube-prometheus-alertmanager-0,0.0009209299566220314,51.609375
ai-failure-predictor-6fdf7887f9-dnttx,0.0,0.5078125
ai-failure-predictor-fd6ddcf5c-rv5g8,0.0017972267610437069,138.10546875
ai-prediction-7b6c54f4c9-hwsvl,0.0016799041303050821,120.2265625
storage-provisioner,0.0018614500552306353,25.38671875
